Date,Open,High,Low,Close,Volume,,,,,
42201.00,565.12,580.68,565.00,579.85,4768300.00,,,,,
42202.00,649.00,674.47,645.00,672.93,11164900.00,,,,,
42205.00,659.24,668.88,653.01,663.02,5860900.00,,,,,
42206.00,655.21,673.00,654.30,662.30,3377200.00,,,,,
42207.00,660.89,678.64,659.00,662.10,3929300.00,,,,,
42208.00,661.27,663.63,641.00,644.28,3029100.00,,,,,
42209.00,647.00,648.17,622.52,623.56,3625700.00,,,,,
42212.00,621.00,634.30,620.50,627.26,2675400.00,,,,,
42213.00,632.83,632.83,623.31,628.00,1727300.00,,,,,
42214.00,628.80,633.36,622.65,631.93,1575100.00,,,,,
42215.00,630.00,635.22,622.05,632.59,1474200.00,,,,,
42216.00,631.38,632.91,625.50,625.61,1706100.00,,,,,
42219.00,625.34,633.06,625.34,631.21,1304500.00,,,,,
42220.00,628.42,634.81,627.16,629.25,1490900.00,,,,,
42221.00,634.33,647.86,633.16,643.78,2334300.00,,,,,
42222.00,645.00,645.38,632.25,642.68,1572600.00,,,,,
42223.00,640.23,642.68,629.71,635.30,1403900.00,,,,,
42226.00,639.48,643.44,631.25,633.73,1809200.00,,,,,
42227.00,669.20,674.90,654.27,660.78,5029200.00,,,,,
42228.00,663.08,665.00,652.29,659.56,2936700.00,,,,,
42229.00,659.32,664.50,651.66,656.45,1810700.00,,,,,
42230.00,655.01,659.85,652.66,657.12,1072100.00,,,,,
